rank,years_since_phd,years_in_service,gender,salary
Assistant,24,5,M,40942
Assistant,32,4,F,36845
Assistant,24,3,F,34651
Assistant,6,2,F,32614
Assistant,10,4,F,41007
Assistant,8,7,M,52737
Assistant,6,2,F,34715
Associate,23,9,M,54006
Full,39,29,M,118945
Full,26,20,M,81390
Assistant,3,2,M,29654
Full,30,25,F,108679
Associate,27,13,F,71273
Assistant,12,3,M,32525
Full,34,25,M,107719
Assistant,14,0,M,24000
Assistant,14,1,M,24000
Full,29,21,M,98331
Associate,33,12,M,60680
Associate,33,8,F,48865
Assistant,22,1,M,31836
Assistant,36,7,F,50401
Associate,19,9,F,57892
Associate,34,16,F,83327
Associate,14,12,F,61134
Full,36,28,M,111475
Associate,21,16,M,72140
Assistant,40,5,M,34223
Associate,18,10,F,63248
Assistant,7,5,M,39173
Assistant,40,2,M,24000
Assistant,17,4,M,40637
Assistant,7,6,F,46689
Assistant,1,1,F,30737
Assistant,10,4,M,36103
Associate,40,14,M,72420
Full,30,29,M,117427
Assistant,14,3,M,31378
Assistant,5,2,F,30187
Assistant,2,0,F,28551
Associate,28,15,M,69196
Full,37,20,F,89825
Associate,15,9,F,58084
Assistant,35,6,M,41302
Associate,11,10,F,55341
Full,32,21,F,99841
Assistant,12,5,F,42393
Associate,23,11,M,52212
Associate,20,11,F,64225
Assistant,10,0,F,24000
Associate,10,8,F,49583
Full,30,29,M,115931
Assistant,5,2,M,30089
Full,35,24,F,97232
Associate,15,12,F,55727
Assistant,36,6,F,46739
Assistant,7,5,M,43685
Full,34,34,M,125505
Associate,13,13,F,68267
Assistant,31,5,M,41144
Associate,19,15,M,68365
Assistant,40,5,M,32373
Full,31,19,M,85041
Associate,10,10,F,57414
Assistant,3,3,F,31125
Assistant,8,2,F,34023
Assistant,35,3,M,37997
Assistant,22,5,F,41778
Assistant,34,3,F,30410
Assistant,16,0,F,24000
Assistant,37,6,F,32807
Assistant,7,6,F,37540
Assistant,18,7,M,43508
Associate,37,13,F,63081
Assistant,10,1,M,24159
Full,36,34,F,134599
Associate,33,12,M,55894
Assistant,9,1,F,24000
Associate,38,10,M,50254
Assistant,22,5,M,36070
Associate,12,8,F,53689
Assistant,16,2,F,36062
Assistant,4,0,F,39130
Assistant,7,6,M,41451
Assistant,7,4,M,37849
Assistant,35,0,M,27341
Assistant,27,0,F,24000
Full,20,18,F,84305
Assistant,35,4,M,36307
Assistant,7,2,M,33742
Associate,10,9,F,58004
Full,37,28,F,119131
Assistant,34,3,F,24000
Associate,29,13,F,72214
Assistant,31,3,M,37581
Full,30,19,M,89153
Assistant,33,4,F,45724
Assistant,3,1,M,25315
Associate,23,11,M,60755
Full,38,32,M,124024
Full,30,29,F,123882
Assistant,27,6,F,41079
Assistant,19,7,F,46722
Assistant,1,0,F,24000
Assistant,3,2,F,29951
Assistant,14,5,M,32212
Associate,19,17,F,70172
Assistant,4,0,M,24975
Associate,18,13,M,55174
Assistant,23,1,M,40015
Associate,34,17,M,80510
Assistant,11,1,M,26824
Full,27,27,F,115797
Assistant,31,0,M,25737
Assistant,26,6,F,46532
Full,34,29,F,117062
Full,25,23,M,101361
Associate,28,16,F,65486
Assistant,16,5,F,43555
Assistant,10,2,M,26745
Full,33,24,M,104285
Associate,34,10,M,65652
Full,35,21,F,90321
Assistant,38,4,F,33109
Assistant,9,2,M,29052
Assistant,23,4,M,39907
Associate,12,9,F,51036
Full,39,38,M,141623
Associate,30,11,F,53212
Assistant,5,3,M,46675
Associate,20,13,F,63562
Assistant,3,2,M,39264
Assistant,2,0,M,24000
Assistant,8,3,M,28498
Assistant,7,5,M,38402
Assistant,23,4,F,28345
Assistant,33,6,M,43534
Assistant,15,2,M,33827
Assistant,1,1,F,24000
Assistant,10,6,M,29728
Assistant,31,4,M,44572
Assistant,1,1,M,32755
Associate,35,11,F,56875
Assistant,22,4,F,32551
Assistant,32,5,F,34987
Full,35,28,M,113668
Associate,12,8,F,52526
Assistant,33,1,F,27276
Assistant,9,0,M,28050
Assistant,14,1,M,24866
Associate,18,12,M,59739
Assistant,8,4,M,41597
Associate,24,11,F,64371
Full,23,19,F,78990
Associate,12,12,F,57090
Assistant,27,0,M,24000
Associate,20,17,F,80287
Associate,29,11,F,58826
Assistant,1,1,M,27442
Assistant,35,0,M,24000
Associate,19,13,F,57515
Associate,17,8,M,46212
Associate,20,8,F,40407
Associate,16,13,M,64544
Assistant,5,1,M,30093
Full,38,26,M,108718
Assistant,19,2,M,35206
Assistant,16,1,F,24000
Full,32,27,M,104639
Full,36,32,M,131143
Assistant,1,1,M,33222
Full,38,24,M,91348
Associate,20,11,M,63357
Associate,38,12,F,60210
Assistant,6,5,M,43184
Associate,19,10,F,60204
Assistant,13,5,M,40618
Full,25,18,M,77926
Associate,34,9,F,55636
Assistant,30,2,M,28687
Full,39,19,F,92342
Associate,33,17,M,78027
Assistant,2,0,M,24000
Full,38,18,F,80470
Assistant,11,5,M,43317
Full,38,23,F,95554
Associate,9,8,M,50603
Associate,13,11,F,58095
Associate,16,10,M,57987
Assistant,11,5,M,44532
Associate,12,10,F,50071
Assistant,12,0,F,24000
Associate,26,17,M,79830
Full,26,25,F,108049
Assistant,4,3,F,33810
Full,29,26,M,107132
Associate,36,13,M,67950
Assistant,6,4,F,39687
Full,33,31,F,116967
Assistant,2,2,M,30497
Assistant,7,1,M,28939
Assistant,9,0,F,24000
Assistant,13,6,M,43749
Assistant,2,1,M,26468
Assistant,16,5,M,43296
Assistant,5,0,M,24145
Associate,29,17,F,64721
Associate,13,12,F,55249
Associate,24,17,F,77238
Assistant,22,0,F,26867
Full,38,27,F,110947
Assistant,3,0,M,28372
Assistant,19,5,F,44518
Assistant,13,1,M,24000
Assistant,33,6,F,46999
Full,28,18,M,76427
Associate,22,13,M,58640
Full,25,25,F,98331
Assistant,9,0,M,27105
Assistant,15,6,F,42101
Assistant,2,1,F,27091
Assistant,14,0,F,30199
Full,29,27,M,112194
Full,39,36,M,133203
Full,37,24,F,90427
Full,18,18,F,83874
Associate,24,11,F,59834
Assistant,39,1,M,36789
Associate,29,15,M,72794
Associate,11,10,M,52700
Assistant,17,0,F,24000
Full,26,23,F,98744
Associate,10,10,M,53210
Full,32,20,F,85945
Assistant,14,2,M,30597
Associate,33,12,F,60676
Full,35,21,M,95413
Associate,13,12,F,62697
Assistant,26,0,M,24000
Associate,18,11,M,52344
Assistant,5,2,F,27309
Full,31,20,M,79953
Full,24,20,M,69945
Assistant,10,1,F,26907
Assistant,9,7,F,42408
Associate,14,11,M,57226
Assistant,6,4,M,37395
Assistant,11,0,F,28678
Assistant,10,6,M,41524
Assistant,39,2,M,27044
Assistant,12,7,F,48561
Full,37,37,F,136673
Assistant,4,4,M,42630
Assistant,25,4,F,35567
Associate,27,17,F,81109
Associate,24,12,M,61063
Full,33,22,F,92124
Assistant,12,3,M,29040
Assistant,8,4,F,39203
Associate,31,13,F,65827
Assistant,18,3,M,33167
Associate,23,10,F,52507
Associate,19,17,F,68290
Associate,14,13,M,67747
Assistant,14,7,M,54940
Associate,36,17,M,80041
Associate,13,8,F,48087
Associate,20,12,M,62893
Full,33,30,M,123026
Assistant,22,4,M,36091
Assistant,10,7,M,49775
Associate,18,16,F,73864
Full,40,37,F,142701
Associate,18,14,M,59778
Assistant,3,1,M,30805
Associate,19,13,F,58477
Full,34,21,M,97137
Assistant,10,1,M,26611
Assistant,2,0,F,24000
Associate,32,16,F,70981
Full,25,19,M,83073
Associate,20,12,M,59690
Assistant,9,1,M,28640
Assistant,3,1,M,27908
Associate,14,9,F,54269
Associate,11,10,M,49716
Associate,11,9,M,54000
Assistant,37,1,F,24000
Full,37,35,F,139377
Associate,13,10,F,56659
Associate,29,16,F,81515
Assistant,1,0,M,24000
Assistant,2,0,M,24000
Assistant,8,6,M,41700
Assistant,2,0,M,26619
Full,38,21,M,85461
Assistant,6,2,F,29738
Assistant,21,1,M,24000
Associate,32,13,F,69980
Associate,35,14,M,67839
Associate,35,17,F,73364
Assistant,8,3,M,31124
Assistant,6,5,F,40055
Associate,20,13,M,66282
Assistant,7,3,F,30479
Assistant,7,2,F,32012
Assistant,14,7,M,42146
Assistant,29,3,F,26867
Assistant,3,0,M,24185
Assistant,1,0,F,26143
Assistant,2,2,F,26088
Assistant,2,1,F,25137
Associate,38,17,F,78697
Assistant,7,6,M,42657
Associate,39,14,F,75246
Assistant,14,2,F,29302
Associate,23,8,F,47598
Assistant,29,3,M,42213
Assistant,12,6,F,51994
Full,23,21,F,90887
Assistant,32,0,M,28578
Full,24,19,M,83922
Associate,12,11,M,62546
Assistant,25,2,F,28077
Assistant,30,5,F,29368
Assistant,12,5,F,42377
Associate,14,12,M,67609
Assistant,32,4,F,35675
Associate,26,17,F,76868
Full,39,25,F,94428
Associate,31,16,M,80851
Assistant,8,7,M,44795
Assistant,1,1,M,28512
Assistant,26,0,M,24000
Associate,24,10,M,53194
Full,21,18,F,82180
Assistant,3,3,M,34787
Assistant,33,4,M,42948
Associate,15,14,M,65493
Assistant,40,6,M,40329
Assistant,26,0,M,25065
Assistant,5,1,F,25609
Associate,11,11,F,57241
Assistant,5,0,M,24000
Assistant,15,7,M,47694
Assistant,26,2,F,39926
Assistant,4,3,F,34473
Full,40,36,M,135119
Associate,16,8,F,56198
Associate,40,8,M,47233
Assistant,3,2,F,30079
Assistant,3,3,M,28982
Assistant,12,0,F,24000
Full,37,19,M,75359
Associate,14,14,F,72899
Assistant,1,1,F,28161
Associate,35,13,F,62413
Associate,26,11,M,63756
Associate,35,11,M,54150
Assistant,1,0,M,24000
Assistant,7,0,F,29123
Assistant,3,1,F,26060
Assistant,12,2,F,28871
Full,25,25,F,101865
Full,33,20,F,82150
Assistant,32,7,M,38644
Full,22,22,M,95997
Associate,18,8,F,53255
Associate,30,17,F,82287
Associate,11,8,F,41022
Assistant,2,1,M,24000
Assistant,10,4,M,40884
Full,30,18,F,93518
Assistant,23,1,M,41107
Full,36,29,M,115254
Associate,36,16,M,72208
Full,33,23,F,95296
Associate,32,15,F,64397
Associate,8,8,M,45473
Full,32,32,F,130033
Assistant,12,6,F,46993
Assistant,1,1,M,24060
Assistant,18,2,F,27036
Associate,21,8,F,54601
Assistant,15,5,F,40648
Assistant,6,6,M,45346
Assistant,13,7,F,34638
Full,39,21,M,81670
Full,26,18,F,72874
Assistant,2,0,M,24000
Assistant,10,2,F,31094
Associate,15,15,F,76561
Assistant,21,2,M,25925
Assistant,4,4,M,33751
Associate,21,16,F,70928
Assistant,27,4,F,37090
Full,33,31,F,123762
Full,32,24,F,95450
Full,20,18,M,81977
Full,32,28,M,110224
Assistant,12,0,F,24000
Assistant,13,7,F,44035
Associate,17,12,M,61397
Assistant,1,1,M,30391
Full,30,30,F,119092
Associate,34,9,M,46526
Assistant,25,7,M,38693
Full,38,19,F,82667
Full,27,24,F,99479
Assistant,3,3,M,40720
Associate,30,8,F,60995
Assistant,7,5,F,30979
Assistant,9,1,F,24000
Associate,30,14,F,68875
Full,36,23,F,91973
Assistant,11,7,F,41382
Associate,26,14,F,61604
Assistant,17,3,F,38275
Full,34,24,F,100511
Assistant,33,1,M,26212
Assistant,20,5,M,35348
Assistant,3,1,F,24000
Assistant,22,4,M,33748
Full,36,30,F,119720
Assistant,21,5,F,32441
Assistant,2,2,F,25772
Assistant,3,3,F,32881
Full,40,22,M,92144
Assistant,34,4,M,31570
Assistant,13,2,F,26176
Associate,18,10,M,61938
Full,37,18,F,77679
Assistant,27,7,M,51565
Assistant,12,6,F,39247
Assistant,22,1,M,26800
Full,39,31,F,119157
Assistant,35,6,F,35956
Assistant,3,0,M,24000
Assistant,4,0,M,24000
Assistant,2,0,M,28585
Assistant,10,3,F,29138
Assistant,16,5,F,39721
Full,39,29,M,116530
Associate,19,9,M,56782
Assistant,9,3,F,27970
Assistant,29,1,M,24090
Assistant,7,2,M,31484
Associate,23,10,F,51647
Assistant,15,4,F,45453
Assistant,9,6,M,36067
Assistant,8,4,F,40639
Assistant,4,1,M,31572
Full,34,24,F,98091
Assistant,18,4,F,32910
Full,32,32,F,126880
Assistant,6,2,F,36476
Assistant,3,3,M,36552
Associate,30,9,F,57658
Associate,37,17,M,84471
Associate,10,9,F,49189
Associate,26,12,F,62704
Full,28,19,M,86538
Assistant,22,2,M,25587
Full,29,20,M,85499
Assistant,13,6,F,44031
Associate,18,12,F,66819
Assistant,4,1,F,24000
Assistant,3,3,M,37364
Assistant,27,7,F,43859
Assistant,13,4,M,41567
Associate,35,9,M,48158
Full,36,24,M,103648
Assistant,19,3,F,31919
Associate,18,8,M,49637
Assistant,36,0,F,27001
Assistant,9,6,M,44299
Assistant,13,2,F,24481
Full,26,18,M,75746
Associate,20,16,F,63050
Assistant,7,3,F,32130
Assistant,39,4,F,37250
Assistant,6,0,F,24000
Full,30,26,M,110141
Associate,35,11,F,51888
Full,36,24,F,110102
Associate,25,9,F,53295
Associate,19,13,F,70122
Associate,28,13,M,65416
Assistant,22,6,M,34999
Full,19,18,M,77290
Assistant,6,4,F,34329
Assistant,7,0,M,24000
Assistant,2,2,M,30848
Assistant,30,6,F,31868
Assistant,9,6,F,45702
Full,38,35,M,139350
Assistant,25,5,F,39008
Assistant,35,1,M,29037
Assistant,26,6,M,39897
Assistant,6,2,M,39940
Assistant,10,1,F,24000
Associate,28,13,F,55573
Associate,33,13,F,70355
Associate,15,9,F,58406
Assistant,32,1,M,24000
Assistant,20,3,F,29109
Assistant,6,1,M,26668
Full,26,23,M,98193
Associate,35,12,M,65332
Associate,30,9,M,53623
Assistant,19,2,F,40180
Assistant,2,1,M,32700
Assistant,8,2,M,35318
Assistant,24,0,F,28936
Assistant,4,4,M,31477
Assistant,6,6,F,34031
Full,40,29,F,106906
Assistant,2,0,M,24000
Assistant,14,0,F,26888
Full,38,27,M,99024
Associate,31,15,M,67784
Assistant,30,0,M,25024
Assistant,1,1,F,35306
Associate,10,8,F,47368
Associate,18,13,M,61980
Assistant,4,4,M,43687
Assistant,27,5,M,26564
Assistant,28,5,F,39816
Assistant,10,1,F,34276
Assistant,4,2,M,32757
Assistant,2,0,M,24023
Associate,22,11,M,51445
Assistant,6,5,F,41110
Assistant,6,3,F,36950
Assistant,21,5,M,37882
Assistant,14,4,F,40641
Assistant,1,0,F,29536
Assistant,13,6,F,37600
Assistant,19,5,F,35595
Assistant,4,4,F,33400
Assistant,10,5,M,35850
Assistant,9,0,M,24000
Full,28,22,M,93958
Full,28,20,M,82988
Associate,32,8,F,57597
Assistant,18,1,M,33110
Associate,16,11,F,57210
Assistant,27,4,F,41827
Full,27,23,F,95628
Full,22,21,F,94159
Assistant,17,3,M,32574
Associate,37,12,M,66808
Assistant,11,7,M,40540
Assistant,4,2,F,32833
Assistant,6,6,M,48539
Associate,22,9,M,53432
Assistant,8,5,F,37191
Assistant,7,4,F,46580
Assistant,11,0,F,27699
Assistant,14,6,M,50518
Full,29,21,F,83670
Assistant,33,4,M,30400
Assistant,4,4,M,37900
Assistant,38,4,M,43978
Assistant,20,4,F,24455
Associate,13,10,M,57798
Assistant,9,3,M,34105
Full,28,24,M,104266
Associate,20,10,M,60606
Assistant,23,4,M,33196
Assistant,2,1,F,24000
Assistant,10,1,F,25220
Associate,35,16,M,73925
Associate,21,16,F,76604
Associate,18,16,M,77760
Assistant,20,6,F,46647
Full,25,19,M,76110
Associate,21,13,F,62832
Assistant,18,4,M,32304
Associate,25,14,F,66036
Full,30,26,F,108527
Full,33,21,F,95533
Assistant,16,1,M,27066
Associate,35,13,M,70613
Assistant,34,4,M,33671
Assistant,21,4,M,36917
Full,37,36,M,139804
Full,30,21,M,89494
Assistant,6,3,F,32848
Full,31,27,F,113271
Associate,13,12,M,60172
Associate,24,15,F,64864
Full,34,30,F,121824
Full,32,31,M,118520
Full,30,30,F,112895
Associate,25,12,F,60020
Assistant,34,3,M,34937
Associate,14,12,F,51459
Full,39,26,F,110874
Assistant,5,0,M,31653
Assistant,5,4,M,35578
Full,32,21,F,94135
Assistant,19,4,F,27146
Assistant,16,4,F,41610
Assistant,12,0,F,24000
Assistant,19,1,F,30930
Assistant,3,2,M,26814
Assistant,34,5,M,43816
Assistant,12,3,M,31033
Associate,23,8,F,52928
Full,29,27,F,109261
Associate,40,16,F,75038
Assistant,2,0,F,26003
Full,26,21,F,91894
Associate,13,8,F,43575
Assistant,37,6,F,49741
Associate,10,10,F,52327
Full,27,26,M,109645
Assistant,39,4,F,40012
Assistant,5,3,F,35167
Associate,31,12,M,60509
Assistant,2,0,F,31547
Assistant,7,0,M,24000
Associate,18,10,M,45947
Full,38,18,F,84207
Assistant,7,5,F,53825
Associate,40,13,M,67738
Associate,15,12,F,54976
Assistant,10,2,M,26889
Associate,21,14,M,65386
Assistant,3,1,F,24000
Assistant,7,0,M,24000
Full,30,27,M,113173
Full,40,35,M,136370
Full,19,18,F,76691
Associate,31,9,F,45377
Assistant,22,2,M,28483
Assistant,23,3,F,37662
Associate,33,14,M,68296
Full,32,31,M,117707
Full,26,23,M,94990
Associate,23,15,F,69898
Full,36,25,M,108226
Full,25,21,M,87678
Associate,18,15,F,69276
Assistant,40,0,M,25742
Associate,14,11,F,53871
Assistant,2,0,F,27363
Full,40,24,M,99801
Assistant,7,5,F,29267
Full,32,18,M,81927
Associate,25,11,M,60177
Full,39,38,M,148089
Full,31,28,F,112769
Assistant,10,0,F,24000
Assistant,28,1,M,26875
Associate,18,15,F,72551
Full,31,23,F,103147
Assistant,20,1,M,34114
Associate,16,11,F,48680
Assistant,8,4,F,32788
Associate,32,9,M,45617
Associate,19,14,F,70425
Assistant,2,2,M,28297
Assistant,21,5,M,36301
Associate,39,13,M,59974
Full,39,39,M,147202
Assistant,8,4,M,34148
Associate,14,10,M,65862
Assistant,7,1,F,33372
Full,39,20,M,90603
Assistant,11,3,M,31804
Assistant,8,3,F,32721
Associate,19,13,F,61312
Assistant,3,0,F,24000
Full,24,20,M,85723
Full,39,28,F,103517
Full,33,30,M,118886
Associate,37,15,M,60751
Assistant,23,3,F,32481
Associate,12,11,F,61723
Assistant,5,5,M,42153
Full,32,29,M,119518
Assistant,17,7,F,32962
Assistant,2,2,F,33466
Full,38,23,M,91001
Associate,15,11,M,57541
Associate,23,16,F,69695
Associate,23,12,F,69695
Full,39,21,F,90114
Associate,14,8,M,51244
Associate,17,10,F,56251
Assistant,20,3,M,29192
Full,25,21,F,85058
Full,39,35,M,140345
Assistant,8,6,M,44784
Associate,16,10,F,52909
Associate,28,12,M,60233
Assistant,12,2,M,33577
Assistant,15,5,M,47280
Assistant,17,5,F,39264
Full,27,25,F,113361
Associate,35,10,M,56206
Assistant,31,1,M,34228
Full,24,20,M,84827
Assistant,6,0,F,24000
Assistant,8,4,M,38378
Associate,34,15,M,71821
Full,21,21,F,91213
Associate,36,9,M,48666
Assistant,6,2,F,30053
Associate,25,12,M,51250
Assistant,20,6,F,46102
Full,29,29,M,106046
Assistant,6,4,M,50830
Assistant,8,2,F,31817
Associate,32,14,M,73979
Associate,9,8,M,42065
Full,34,29,F,107764
Assistant,18,6,F,41688
Full,37,23,F,94885
Full,37,30,M,117177
Assistant,8,5,F,43434
Assistant,20,2,M,27386
Assistant,7,5,M,53924
Assistant,12,0,M,24000
Full,34,19,F,81276
Associate,11,8,M,49141
Assistant,25,6,M,40992
Associate,24,10,M,53854
Assistant,12,4,F,37396
Assistant,1,1,M,24000
Associate,21,14,M,75276
Assistant,12,6,F,40673
Assistant,1,1,M,26061
Full,40,27,M,108440
Associate,26,16,M,76911
Associate,17,15,M,71923
Associate,25,9,F,53438
Assistant,21,7,F,38907
Assistant,20,0,M,24000
Full,29,23,M,100546
Assistant,2,1,M,26949
Assistant,36,6,M,46449
Assistant,28,1,M,34578
Assistant,20,5,M,40192
Associate,26,13,M,61838
Full,35,23,M,94750
Full,26,22,F,91574
Full,25,20,M,77618
Assistant,15,5,F,36681
Associate,20,15,M,74297
Full,25,25,M,99295
Full,39,26,F,111409
Associate,23,8,M,47330
Assistant,2,0,F,24000
Full,39,20,F,84681
Full,33,19,F,81347
Full,28,20,M,78615
Associate,22,12,M,63616
Assistant,2,2,M,36413
Assistant,6,4,M,27486
Full,20,19,M,78917
Assistant,24,3,M,42417
Assistant,37,3,M,29043
Assistant,37,7,F,42571
Associate,8,8,F,55572
Associate,27,13,F,63070
Associate,9,9,F,54683
Full,30,21,F,93575
Associate,20,17,M,76938
Assistant,7,5,M,36842
Assistant,7,3,F,35109
Assistant,4,0,M,24000
Full,40,38,M,142144
Assistant,12,4,F,32718
Assistant,23,3,M,26332
Assistant,1,1,M,25387
Associate,16,8,F,47095
Associate,28,14,M,60566
Full,26,25,M,104623
Assistant,4,3,M,32801
Full,39,27,F,106844
Assistant,7,4,F,44769
Full,20,18,F,73465
Full,40,36,M,142401
Full,37,26,F,101777
Assistant,8,1,M,30493
Full,36,19,F,82021
Assistant,11,0,M,24532
Full,32,30,F,122264
Assistant,5,0,M,24000
Assistant,31,1,M,34520
Associate,33,16,M,72140
Full,35,21,M,86436
Associate,28,15,M,69626
Associate,14,13,M,64918
Assistant,33,1,M,25894
Assistant,18,2,F,27514
Full,35,23,M,97717
Associate,14,8,M,49817
Assistant,13,7,M,51847
Associate,26,9,F,61533
Assistant,17,0,F,24000
Associate,32,13,M,63679
Assistant,1,0,F,26208
Assistant,3,1,M,32639
Assistant,5,1,M,26917
Assistant,10,6,F,44853
Full,30,30,F,120751
Assistant,7,5,M,43177
Assistant,14,7,F,42857
Assistant,5,2,F,29478
Full,36,24,M,99295
Assistant,7,5,F,44904
Associate,24,11,M,61093
Assistant,14,1,F,24000
Assistant,38,0,F,24000
Assistant,27,5,M,40543
Associate,13,9,M,52134
Full,30,27,F,107285
Associate,25,9,F,50598
Assistant,11,7,M,50226
Assistant,2,0,F,24000
Full,39,31,F,122822
Assistant,28,0,F,24948
Assistant,3,0,M,24000
Full,37,22,F,101522
Full,40,30,F,114153
Assistant,39,6,F,48353
Associate,26,15,F,76571
Associate,29,11,F,58695
Assistant,8,0,M,24000
Assistant,4,4,M,41305
Full,25,18,F,76028
Assistant,6,4,F,33308
Associate,27,8,M,50546
Associate,29,8,F,54863
Associate,10,10,M,60175
Associate,19,14,F,67661
Associate,20,11,F,48442
Assistant,3,2,F,26313
Assistant,5,5,F,41995
Full,39,35,F,135067
Assistant,25,7,F,52097
Assistant,19,5,M,34505
Assistant,29,0,M,24000
Assistant,9,7,M,44645
Assistant,15,4,M,43940
Assistant,6,6,F,46587
Assistant,3,3,M,32894
Assistant,17,4,M,45557
Assistant,9,2,F,34731
Assistant,5,0,M,27205
Full,37,32,F,133428
Associate,19,15,F,65786
Full,33,25,M,105088
Full,39,36,M,137510
Assistant,2,0,M,34050
Assistant,39,3,F,39482
Associate,24,17,M,83990
Associate,16,12,M,58153
Full,26,24,F,96088
Assistant,17,6,M,50355
Full,34,29,M,116796
Assistant,4,4,F,35454
Full,27,24,M,91612
Assistant,25,0,M,24000
